name,code,population
Afganistan,4,5
Albaania,8,2
Ameerika Ühendriigid,840,3913
Andorra,20,1
Angola,24,1
Araabia Ühendemiraadid,784,49
Argentina,32,147
Armeenia,51,23
Aserbaidžaan,31,8
Austraalia,36,2661
Austria,40,283
Bahrein,48,4
Belgia,56,522
Belize,84,2
Bermuda (Gbr),60,4
Boliivia,68,3
Bosnia ja Hertsegoviina,70,1
Brasiilia,76,582
Brunei Darussalam,96,1
Bulgaaria,100,39
Colombia (Kolumbia),170,8
Costa Rica,188,3
Dominikaani Vabariik,214,3
Ecuador,218,7
Eesti,233,1120642
Egiptus,818,20
Fidži,242,2
Filipiinid,608,9
Ghana,288,1
Gibraltar (Gbr),292,1
Gruusia,268,56
Guatemala,320,5
Hiina,156,32
Hispaania,724,719
Holland,528,650
Honduras,340,42
Hongkong (Chn),344,13
Horvaatia,191,13
Iirimaa,372,2277
Iisrael,376,579
India,356,22
Indoneesia,360,11
Iraak,368,9
Iraan,364,1
Island,352,48
Itaalia,380,541
Jaapan,392,57
Jersey (Gbr),832,3
Jordaania,400,1
Kaimanisaared (Gbr),136,1
Kambodža,116,1
Kamerun,120,3
Kanada,124,3075
Kasahstan,398,18
Katar,634,5
Kenya,404,4
Kongo DV,178,1
Korea Vabariik,410,3
Kosovo,,1
Kreeka,300,61
Kuveit,414,1
Kõrgõzstan,417,5
Küpros,196,105
Leedu,440,218
Liechtenstein,438,1
Liibanon,422,6
Liibüa,434,1
Luksemburg,442,239
Läti,428,715
Lõuna-Aafrika Vabariik,710,64
Malaisia,458,10
Mali,466,3
Malta,470,25
Mehhiko,484,18
Moldova,498,39
Monaco,492,25
Montenegro,499,2
Määramata,,1
Namiibia,516,3
Nigeeria,566,9
Norra,578,1148
Omaan,512,6
Pakistan,586,1
Palestiina,275,9
Panama,591,4
Peruu,604,10
Poola,616,53
Portugal,620,90
Prantsusmaa,250,687
Rootsi,752,4503
Rumeenia,642,5
Réunion (Fra),638,1
Saksamaa,276,4506
Saudi Araabia,682,10
Senegal,686,2
Serbia,688,4
Singapur,702,24
Slovakkia,703,18
Sloveenia,705,15
Somaalia,706,1
Soome,246,50865
Suurbritannia,826,8105
Svalbard ja Jan Mayen (Nor),744,1
Süüria,760,1
Taani,208,583
Tai,764,25
Taiwan (Chn),158,10
Tansaania,834,1
Tonga,776,1
Türgi,792,60
Tšehhi,203,99
Tšiili,152,6
Ukraina,804,483
Ungari,348,57
Uruguay,858,1
Usa Neitsisaared (Usa),92,1
Usbekistan,860,4
Uus-Meremaa,554,140
Valgevene,112,178
Vanuatu,548,2
Venemaa,643,17044
Venezuela,862,250
Vietnam,704,9
Wallis ja Futuna (Fra),876,1
Ühendriikide Hajasaared (Usa),581,4
Šveits,756,450
